intern_id,feedback,satisfaction_rating,sentiment
INT-0035,I enjoyed the projects and gained useful practical skills. I would recommend the internship.,4,Positive
INT-0036,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0037,My mentor was unavailable and I did not receive enough guidance. I would recommend the internship.,2,Negative
INT-0038,The workload was stressful and the schedule was poorly organized. I would recommend the internship.,1,Negative
INT-0039,The feedback from my supervisor helped me improve quickly. I think the program can be improved.,5,Positive
INT-0040,The company provided a positive learning environment. More regular meetings would be helpful.,4,Positive
INT-0041,The internship was okay and I completed the assigned tasks. More regular meetings would be helpful.,3,Neutral
INT-0042,I was unhappy with the lack of communication. I would like more opportunities like this.,1,Negative
INT-0043,"The tasks were manageable and the overall experience was normal. Overall, this was my experience.",3,Neutral
INT-0044,"There was confusion about responsibilities and deadlines. Overall, this was my experience.",1,Negative
INT-0045,The team environment was friendly and motivating.,4,Positive
INT-0046,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0047,Communication with the team was poor and frustrating. I would like more opportunities like this.,2,Negative
INT-0048,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0049,The training was insufficient and I needed more help. I would like more opportunities like this.,1,Negative
INT-0050,The training was insufficient and I needed more help. I think the program can be improved.,1,Negative
INT-0051,"The communication with my mentor was clear and helpful. Overall, this was my experience.",4,Positive
INT-0052,The internship was disappointing and I did not learn enough. I would like more opportunities like this.,1,Negative
INT-0053,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,4,Positive
INT-0054,I was happy with the learning opportunities provided.,4,Positive
INT-0055,The workload was stressful and the schedule was poorly organized. I think the program can be improved.,1,Negative
INT-0056,I was happy with the learning opportunities provided.,4,Positive
INT-0057,The workload was stressful and the schedule was poorly organized. I would recommend the internship.,2,Negative
INT-0058,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,2,Negative
INT-0059,The experience was average with both good and difficult moments. I think the program can be improved.,3,Neutral
INT-0060,There was confusion about responsibilities and deadlines.,1,Negative
INT-0061,Communication with the team was poor and frustrating. More regular meetings would be helpful.,2,Negative
INT-0062,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,5,Positive
INT-0063,I really enjoyed working with the team. I think the program can be improved.,4,Positive
INT-0064,I was happy with the learning opportunities provided. I would recommend the internship.,5,Positive
INT-0065,"Communication with the team was poor and frustrating. Overall, this was my experience.",2,Negative
INT-0066,Communication with the team was poor and frustrating. I think the program can be improved.,1,Negative
INT-0067,I really enjoyed working with the team. I would recommend the internship.,4,Positive
INT-0068,I felt unsupported during most of the internship. I would like more opportunities like this.,1,Negative
INT-0069,My experience was neither very good nor very bad.,3,Neutral
INT-0070,The tasks were manageable and the overall experience was normal. I think the program can be improved.,3,Neutral
INT-0071,Communication with the team was poor and frustrating. I would like more opportunities like this.,2,Negative
INT-0072,The experience was average with both good and difficult moments. I would recommend the internship.,3,Neutral
INT-0073,The team environment was friendly and motivating.,4,Positive
INT-0074,The workload was acceptable for most of the internship. I would recommend the internship.,3,Neutral
INT-0075,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0076,I was unhappy with the lack of communication. I would like more opportunities like this.,1,Negative
INT-0077,I received very little feedback about my work. More regular meetings would be helpful.,2,Negative
INT-0078,"The feedback from my supervisor helped me improve quickly. Overall, this was my experience.",5,Positive
INT-0079,The internship was excellent and I learned a lot from the team.,5,Positive
INT-0080,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",4,Positive
INT-0081,The tasks were interesting and helped me build my skills. More regular meetings would be helpful.,4,Positive
INT-0082,The team was fine and the internship met basic expectations. I would recommend the internship.,3,Neutral
INT-0083,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",5,Positive
INT-0084,I completed my work and received some feedback from my mentor. I think the program can be improved.,3,Neutral
INT-0085,The company provided a positive learning environment. I would like more opportunities like this.,4,Positive
INT-0086,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",4,Positive
INT-0087,The team environment was friendly and motivating.,5,Positive
INT-0088,The projects were repetitive and did not improve my skills. I would like more opportunities like this.,1,Negative
INT-0089,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0090,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0091,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
INT-0092,The feedback from my supervisor helped me improve quickly. More regular meetings would be helpful.,4,Positive
INT-0093,Communication with the team was poor and frustrating. I think the program can be improved.,2,Negative
INT-0094,The tasks were manageable and the overall experience was normal. More regular meetings would be helpful.,3,Neutral
INT-0095,The internship was disappointing and I did not learn enough. I think the program can be improved.,1,Negative
INT-0096,"The tasks were interesting and helped me build my skills. Overall, this was my experience.",4,Positive
INT-0097,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0098,"The team was fine and the internship met basic expectations. Overall, this was my experience.",3,Neutral
INT-0099,"There was confusion about responsibilities and deadlines. Overall, this was my experience.",2,Negative
INT-0100,I was happy with the learning opportunities provided. I would like more opportunities like this.,4,Positive
INT-0101,There was confusion about responsibilities and deadlines. I would like more opportunities like this.,1,Negative
INT-0102,There was confusion about responsibilities and deadlines.,2,Negative
INT-0103,I was unhappy with the lack of communication. More regular meetings would be helpful.,1,Negative
INT-0104,The company provided a positive learning environment. I would recommend the internship.,4,Positive
INT-0105,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0106,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,4,Positive
INT-0107,I was unhappy with the lack of communication.,2,Negative
INT-0108,My mentor was supportive and explained tasks clearly. I think the program can be improved.,4,Positive
INT-0109,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,5,Positive
INT-0110,The team environment was friendly and motivating.,5,Positive
INT-0111,My mentor was supportive and explained tasks clearly. I think the program can be improved.,4,Positive
INT-0112,My mentor was supportive and explained tasks clearly. I would recommend the internship.,5,Positive
INT-0113,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",4,Positive
INT-0114,"The internship was disappointing and I did not learn enough. Overall, this was my experience.",2,Negative
INT-0115,The communication with my mentor was clear and helpful.,4,Positive
INT-0116,"The team was fine and the internship met basic expectations. Overall, this was my experience.",3,Neutral
INT-0117,I really enjoyed working with the team. I would like more opportunities like this.,4,Positive
INT-0118,I enjoyed the projects and gained useful practical skills. I think the program can be improved.,4,Positive
INT-0119,The internship gave me valuable real world experience. I would recommend the internship.,4,Positive
INT-0120,The company provided a positive learning environment.,5,Positive
INT-0121,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
INT-0122,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0123,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0124,The workload was acceptable for most of the internship. I would like more opportunities like this.,3,Neutral
INT-0125,There was confusion about responsibilities and deadlines. I think the program can be improved.,2,Negative
INT-0126,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0127,I felt unsupported during most of the internship.,2,Negative
INT-0128,"There was confusion about responsibilities and deadlines. Overall, this was my experience.",1,Negative
INT-0129,I was happy with the learning opportunities provided. I would recommend the internship.,4,Positive
INT-0130,My mentor was unavailable and I did not receive enough guidance. I think the program can be improved.,1,Negative
INT-0131,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,5,Positive
INT-0132,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,4,Positive
INT-0133,The tasks were interesting and helped me build my skills.,5,Positive
INT-0134,My experience was neither very good nor very bad. More regular meetings would be helpful.,3,Neutral
INT-0135,I received good guidance and felt confident completing my tasks.,5,Positive
INT-0136,"I was unhappy with the lack of communication. Overall, this was my experience.",1,Negative
INT-0137,There was confusion about responsibilities and deadlines. I would recommend the internship.,2,Negative
INT-0138,Communication with the team was poor and frustrating. I would like more opportunities like this.,1,Negative
INT-0139,I felt unsupported during most of the internship.,2,Negative
INT-0140,My mentor was unavailable and I did not receive enough guidance. I would recommend the internship.,2,Negative
INT-0141,I felt unsupported during most of the internship. I think the program can be improved.,1,Negative
INT-0142,The company provided a positive learning environment.,5,Positive
INT-0143,I completed my work and received some feedback from my mentor. I think the program can be improved.,3,Neutral
INT-0144,The internship did not provide enough practical learning.,2,Negative
INT-0145,The company provided a positive learning environment. I think the program can be improved.,5,Positive
INT-0146,The internship gave me valuable real world experience. I would like more opportunities like this.,5,Positive
INT-0147,The tasks were unclear and difficult to understand. I think the program can be improved.,1,Negative
INT-0148,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",2,Negative
INT-0149,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,2,Negative
INT-0150,My mentor was unavailable and I did not receive enough guidance.,2,Negative
INT-0151,My mentor was supportive and explained tasks clearly. I would recommend the internship.,5,Positive
INT-0152,The projects were repetitive and did not improve my skills.,1,Negative
INT-0153,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,2,Negative
INT-0154,"My experience was neither very good nor very bad. Overall, this was my experience.",3,Neutral
INT-0155,The communication with my mentor was clear and helpful. I think the program can be improved.,4,Positive
INT-0156,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
INT-0157,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0158,My mentor was supportive and explained tasks clearly. I would like more opportunities like this.,5,Positive
INT-0159,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0160,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0161,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0162,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0163,The workload was acceptable for most of the internship. I think the program can be improved.,3,Neutral
INT-0164,I received good guidance and felt confident completing my tasks. I would recommend the internship.,5,Positive
INT-0165,The tasks were interesting and helped me build my skills. More regular meetings would be helpful.,4,Positive
INT-0166,I completed my work and received some feedback from my mentor. I would like more opportunities like this.,3,Neutral
INT-0167,Communication with the team was poor and frustrating. I would recommend the internship.,1,Negative
INT-0168,"The tasks were manageable and the overall experience was normal. Overall, this was my experience.",3,Neutral
INT-0169,The communication with my mentor was clear and helpful.,4,Positive
INT-0170,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0171,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
INT-0172,The internship was okay and I completed the assigned tasks. I think the program can be improved.,3,Neutral
INT-0173,"The training was insufficient and I needed more help. Overall, this was my experience.",1,Negative
INT-0174,I really enjoyed working with the team. I would like more opportunities like this.,4,Positive
INT-0175,"I really enjoyed working with the team. Overall, this was my experience.",5,Positive
INT-0176,The experience was average with both good and difficult moments. I would like more opportunities like this.,3,Neutral
INT-0177,I was happy with the learning opportunities provided. I would recommend the internship.,4,Positive
INT-0178,The communication with my mentor was clear and helpful.,5,Positive
INT-0179,The communication with my mentor was clear and helpful.,4,Positive
INT-0180,The tasks were interesting and helped me build my skills.,5,Positive
INT-0181,"The internship did not provide enough practical learning. Overall, this was my experience.",2,Negative
INT-0182,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0183,"My mentor was supportive and explained tasks clearly. Overall, this was my experience.",4,Positive
INT-0184,I felt unsupported during most of the internship. I think the program can be improved.,2,Negative
INT-0185,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0186,The internship was disappointing and I did not learn enough. I would recommend the internship.,1,Negative
INT-0187,Communication with the team was poor and frustrating.,2,Negative
INT-0188,I felt unsupported during most of the internship. I would recommend the internship.,1,Negative
INT-0189,I was happy with the learning opportunities provided.,4,Positive
INT-0190,I received very little feedback about my work. More regular meetings would be helpful.,1,Negative
INT-0191,My mentor was supportive and explained tasks clearly.,4,Positive
INT-0192,I felt unsupported during most of the internship. I would like more opportunities like this.,2,Negative
INT-0193,The training was insufficient and I needed more help. I would recommend the internship.,1,Negative
INT-0194,The team was fine and the internship met basic expectations. I would like more opportunities like this.,3,Neutral
INT-0195,I felt unsupported during most of the internship. I would like more opportunities like this.,2,Negative
INT-0196,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0197,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,2,Negative
INT-0198,My mentor was unavailable and I did not receive enough guidance.,1,Negative
INT-0199,My mentor was supportive and explained tasks clearly. I would like more opportunities like this.,4,Positive
INT-0200,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,2,Negative
INT-0201,I was happy with the learning opportunities provided. More regular meetings would be helpful.,4,Positive
INT-0202,The company provided a positive learning environment. I think the program can be improved.,5,Positive
INT-0203,The team environment was friendly and motivating. More regular meetings would be helpful.,4,Positive
INT-0204,My mentor was unavailable and I did not receive enough guidance. I would recommend the internship.,1,Negative
INT-0205,"I felt unsupported during most of the internship. Overall, this was my experience.",2,Negative
INT-0206,The training was insufficient and I needed more help. I think the program can be improved.,2,Negative
INT-0207,Communication with the team was poor and frustrating. I think the program can be improved.,1,Negative
INT-0208,I felt unsupported during most of the internship. I think the program can be improved.,2,Negative
INT-0209,"I received very little feedback about my work. Overall, this was my experience.",2,Negative
INT-0210,The experience was average with both good and difficult moments.,3,Neutral
INT-0211,The projects were repetitive and did not improve my skills. I would like more opportunities like this.,2,Negative
INT-0212,The communication with my mentor was clear and helpful.,5,Positive
INT-0213,The internship was disappointing and I did not learn enough. I would recommend the internship.,1,Negative
INT-0214,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0215,The internship was excellent and I learned a lot from the team. More regular meetings would be helpful.,5,Positive
INT-0216,The tasks were interesting and helped me build my skills. I would recommend the internship.,4,Positive
INT-0217,"The tasks were interesting and helped me build my skills. Overall, this was my experience.",4,Positive
INT-0218,I completed my work and received some feedback from my mentor. More regular meetings would be helpful.,3,Neutral
INT-0219,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",5,Positive
INT-0220,My mentor was supportive and explained tasks clearly.,5,Positive
INT-0221,"I completed my work and received some feedback from my mentor. Overall, this was my experience.",3,Neutral
INT-0222,The communication with my mentor was clear and helpful. I would recommend the internship.,5,Positive
INT-0223,The tasks were interesting and helped me build my skills. I think the program can be improved.,5,Positive
INT-0224,"The tasks were interesting and helped me build my skills. Overall, this was my experience.",4,Positive
INT-0225,The internship gave me valuable real world experience. I would recommend the internship.,5,Positive
INT-0226,The workload was acceptable for most of the internship.,3,Neutral
INT-0227,"The tasks were unclear and difficult to understand. Overall, this was my experience.",2,Negative
INT-0228,The company provided a positive learning environment. More regular meetings would be helpful.,5,Positive
INT-0229,The team environment was friendly and motivating.,4,Positive
INT-0230,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0231,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0232,I really enjoyed working with the team. I would like more opportunities like this.,5,Positive
INT-0233,I enjoyed the projects and gained useful practical skills.,4,Positive
INT-0234,The training was insufficient and I needed more help. I would recommend the internship.,1,Negative
INT-0235,I really enjoyed working with the team.,5,Positive
INT-0236,"The training was insufficient and I needed more help. Overall, this was my experience.",1,Negative
INT-0237,"The training was insufficient and I needed more help. Overall, this was my experience.",1,Negative
INT-0238,I received very little feedback about my work. More regular meetings would be helpful.,2,Negative
INT-0239,The tasks were manageable and the overall experience was normal. More regular meetings would be helpful.,3,Neutral
INT-0240,The projects were repetitive and did not improve my skills. More regular meetings would be helpful.,2,Negative
INT-0241,The team was fine and the internship met basic expectations. I would like more opportunities like this.,3,Neutral
INT-0242,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0243,I received very little feedback about my work. I think the program can be improved.,2,Negative
INT-0244,The internship was excellent and I learned a lot from the team.,4,Positive
INT-0245,The internship did not provide enough practical learning. I would like more opportunities like this.,1,Negative
INT-0246,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0247,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0248,I received good guidance and felt confident completing my tasks. I think the program can be improved.,4,Positive
INT-0249,The feedback from my supervisor helped me improve quickly. I would like more opportunities like this.,4,Positive
INT-0250,The projects were repetitive and did not improve my skills.,2,Negative
INT-0251,I was unhappy with the lack of communication.,1,Negative
INT-0252,My experience was neither very good nor very bad. I think the program can be improved.,3,Neutral
INT-0253,The learning opportunities were reasonable. I think the program can be improved.,3,Neutral
INT-0254,My experience was neither very good nor very bad. I would recommend the internship.,3,Neutral
INT-0255,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,2,Negative
INT-0256,The internship did not provide enough practical learning. More regular meetings would be helpful.,2,Negative
INT-0257,The workload was acceptable for most of the internship. I would recommend the internship.,3,Neutral
INT-0258,"Communication with the team was poor and frustrating. Overall, this was my experience.",2,Negative
INT-0259,The internship was excellent and I learned a lot from the team. I would like more opportunities like this.,4,Positive
INT-0260,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,2,Negative
INT-0261,My experience was neither very good nor very bad. More regular meetings would be helpful.,3,Neutral
INT-0262,The experience was average with both good and difficult moments. More regular meetings would be helpful.,3,Neutral
INT-0263,The training was insufficient and I needed more help. I would like more opportunities like this.,1,Negative
INT-0264,The team was fine and the internship met basic expectations. I would like more opportunities like this.,3,Neutral
INT-0265,The workload was acceptable for most of the internship. I would like more opportunities like this.,3,Neutral
INT-0266,The internship was excellent and I learned a lot from the team. I would recommend the internship.,5,Positive
INT-0267,"The company provided a positive learning environment. Overall, this was my experience.",5,Positive
INT-0268,The projects were repetitive and did not improve my skills.,1,Negative
INT-0269,I received very little feedback about my work. More regular meetings would be helpful.,2,Negative
INT-0270,The internship was excellent and I learned a lot from the team. I think the program can be improved.,4,Positive
INT-0271,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0272,Communication with the team was poor and frustrating. I think the program can be improved.,2,Negative
INT-0273,The internship was excellent and I learned a lot from the team.,5,Positive
INT-0274,Communication with the team was poor and frustrating. More regular meetings would be helpful.,1,Negative
INT-0275,I really enjoyed working with the team.,5,Positive
INT-0276,The tasks were interesting and helped me build my skills. More regular meetings would be helpful.,5,Positive
INT-0277,The feedback from my supervisor helped me improve quickly.,5,Positive
INT-0278,"The tasks were interesting and helped me build my skills. Overall, this was my experience.",4,Positive
INT-0279,"I received very little feedback about my work. Overall, this was my experience.",1,Negative
INT-0280,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0281,The internship gave me valuable real world experience. I would recommend the internship.,4,Positive
INT-0282,The team was fine and the internship met basic expectations.,3,Neutral
INT-0283,The projects were repetitive and did not improve my skills. More regular meetings would be helpful.,1,Negative
INT-0284,The experience was average with both good and difficult moments. More regular meetings would be helpful.,3,Neutral
INT-0285,My mentor was supportive and explained tasks clearly. I would recommend the internship.,4,Positive
INT-0286,The internship was excellent and I learned a lot from the team. I would recommend the internship.,5,Positive
INT-0287,The internship did not provide enough practical learning.,2,Negative
INT-0288,I received very little feedback about my work.,2,Negative
INT-0289,I felt unsupported during most of the internship.,2,Negative
INT-0290,The tasks were manageable and the overall experience was normal. More regular meetings would be helpful.,3,Neutral
INT-0291,I enjoyed the projects and gained useful practical skills.,5,Positive
INT-0292,The internship did not provide enough practical learning. I would like more opportunities like this.,2,Negative
INT-0293,The training was insufficient and I needed more help. I would like more opportunities like this.,1,Negative
INT-0294,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0295,The experience was average with both good and difficult moments. I would recommend the internship.,3,Neutral
INT-0296,"Communication with the team was poor and frustrating. Overall, this was my experience.",1,Negative
INT-0297,The training was insufficient and I needed more help.,1,Negative
INT-0298,I completed my work and received some feedback from my mentor. I think the program can be improved.,3,Neutral
INT-0299,"The learning opportunities were reasonable. Overall, this was my experience.",3,Neutral
INT-0300,I was unhappy with the lack of communication. I would like more opportunities like this.,1,Negative
INT-0301,Communication with the team was poor and frustrating. More regular meetings would be helpful.,1,Negative
INT-0302,"The learning opportunities were reasonable. Overall, this was my experience.",3,Neutral
INT-0303,I felt unsupported during most of the internship. I would recommend the internship.,1,Negative
INT-0304,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0305,The internship was excellent and I learned a lot from the team. I think the program can be improved.,4,Positive
INT-0306,The internship was disappointing and I did not learn enough. I think the program can be improved.,1,Negative
INT-0307,The internship was excellent and I learned a lot from the team.,4,Positive
INT-0308,My mentor was supportive and explained tasks clearly. I would recommend the internship.,5,Positive
INT-0309,The workload was stressful and the schedule was poorly organized.,1,Negative
INT-0310,The team environment was friendly and motivating. More regular meetings would be helpful.,4,Positive
INT-0311,The team environment was friendly and motivating. More regular meetings would be helpful.,4,Positive
INT-0312,I really enjoyed working with the team. I think the program can be improved.,4,Positive
INT-0313,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,1,Negative
INT-0314,The workload was stressful and the schedule was poorly organized.,1,Negative
INT-0315,I enjoyed the projects and gained useful practical skills. I think the program can be improved.,4,Positive
INT-0316,"The tasks were unclear and difficult to understand. Overall, this was my experience.",2,Negative
INT-0317,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,4,Positive
INT-0318,The company provided a positive learning environment. More regular meetings would be helpful.,4,Positive
INT-0319,The tasks were unclear and difficult to understand. I think the program can be improved.,1,Negative
INT-0320,The internship was excellent and I learned a lot from the team.,4,Positive
INT-0321,"The company provided a positive learning environment. Overall, this was my experience.",4,Positive
INT-0322,The internship was excellent and I learned a lot from the team. I think the program can be improved.,5,Positive
INT-0323,My mentor was supportive and explained tasks clearly. I would like more opportunities like this.,5,Positive
INT-0324,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0325,The internship was okay and I completed the assigned tasks. I think the program can be improved.,3,Neutral
INT-0326,"I was happy with the learning opportunities provided. Overall, this was my experience.",5,Positive
INT-0327,The tasks were manageable and the overall experience was normal. I would like more opportunities like this.,3,Neutral
INT-0328,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0329,I was unhappy with the lack of communication. I would recommend the internship.,2,Negative
INT-0330,The tasks were manageable and the overall experience was normal. I would recommend the internship.,3,Neutral
INT-0331,Communication with the team was poor and frustrating. I think the program can be improved.,1,Negative
INT-0332,The internship gave me valuable real world experience. I think the program can be improved.,4,Positive
INT-0333,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
INT-0334,"The feedback from my supervisor helped me improve quickly. Overall, this was my experience.",4,Positive
INT-0335,"My mentor was unavailable and I did not receive enough guidance. Overall, this was my experience.",2,Negative
INT-0336,There was confusion about responsibilities and deadlines. I would recommend the internship.,1,Negative
INT-0337,I was unhappy with the lack of communication. I would recommend the internship.,1,Negative
INT-0338,The tasks were interesting and helped me build my skills. I would recommend the internship.,5,Positive
INT-0339,The tasks were unclear and difficult to understand.,1,Negative
INT-0340,The company provided a positive learning environment. I think the program can be improved.,4,Positive
INT-0341,The internship did not provide enough practical learning. I would recommend the internship.,1,Negative
INT-0342,The internship was okay and I completed the assigned tasks.,3,Neutral
INT-0343,My mentor was unavailable and I did not receive enough guidance. I would like more opportunities like this.,2,Negative
INT-0344,The team environment was friendly and motivating. I think the program can be improved.,4,Positive
INT-0345,The feedback from my supervisor helped me improve quickly.,5,Positive
INT-0346,I really enjoyed working with the team. I think the program can be improved.,4,Positive
INT-0347,I really enjoyed working with the team.,5,Positive
INT-0348,Communication with the team was poor and frustrating. I think the program can be improved.,1,Negative
INT-0349,The communication with my mentor was clear and helpful. I think the program can be improved.,5,Positive
INT-0350,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0351,The experience was average with both good and difficult moments. More regular meetings would be helpful.,3,Neutral
INT-0352,The internship did not provide enough practical learning. I would recommend the internship.,1,Negative
INT-0353,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0354,The communication with my mentor was clear and helpful. I think the program can be improved.,5,Positive
INT-0355,I received very little feedback about my work. I would recommend the internship.,1,Negative
INT-0356,The tasks were manageable and the overall experience was normal. I would like more opportunities like this.,3,Neutral
INT-0357,The company provided a positive learning environment.,5,Positive
INT-0358,I really enjoyed working with the team. More regular meetings would be helpful.,4,Positive
INT-0359,The training was insufficient and I needed more help. I think the program can be improved.,2,Negative
INT-0360,"I received very little feedback about my work. Overall, this was my experience.",1,Negative
INT-0361,I felt unsupported during most of the internship.,2,Negative
INT-0362,The internship gave me valuable real world experience.,5,Positive
INT-0363,"My experience was neither very good nor very bad. Overall, this was my experience.",3,Neutral
INT-0364,The internship was excellent and I learned a lot from the team. More regular meetings would be helpful.,4,Positive
INT-0365,The tasks were interesting and helped me build my skills.,4,Positive
INT-0366,The communication with my mentor was clear and helpful.,5,Positive
INT-0367,I really enjoyed working with the team. I would like more opportunities like this.,5,Positive
INT-0368,I felt unsupported during most of the internship. More regular meetings would be helpful.,2,Negative
INT-0369,I received very little feedback about my work.,2,Negative
INT-0370,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,1,Negative
INT-0371,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,5,Positive
INT-0372,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
