ticket_id,intern_id,query,category,subject,resolution,status
TKT0021,INT041,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0022,INT109,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0023,INT072,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0024,INT056,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0025,INT087,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0026,INT024,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0027,INT025,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0028,INT217,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0029,INT155,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0030,INT207,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0031,INT187,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0032,INT138,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0033,INT250,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0034,INT097,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0035,INT142,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0036,INT213,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0037,INT159,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0038,INT221,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0039,INT148,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0040,INT181,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0041,INT012,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0042,INT059,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0043,INT075,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0044,INT219,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0045,INT222,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0046,INT098,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0047,INT117,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0048,INT214,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0049,INT042,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0050,INT091,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0051,INT172,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0052,INT180,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0053,INT175,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0054,INT019,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0055,INT163,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0056,INT137,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0057,INT063,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0058,INT119,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0059,INT070,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0060,INT164,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0061,INT143,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0062,INT176,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0063,INT216,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0064,INT199,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0065,INT059,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0066,INT009,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0067,INT081,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0068,INT069,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0069,INT055,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0070,INT242,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0071,INT225,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0072,INT081,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0073,INT168,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0074,INT102,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0075,INT235,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0076,INT118,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0077,INT068,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0078,INT064,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0079,INT144,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0080,INT068,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0081,INT150,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0082,INT230,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0083,INT103,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0084,INT057,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0085,INT131,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0086,INT024,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0087,INT013,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0088,INT029,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0089,INT161,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0090,INT203,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0091,INT109,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0092,INT017,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0093,INT098,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0094,INT120,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0095,INT065,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0096,INT221,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0097,INT175,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0098,INT030,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0099,INT227,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0100,INT193,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0101,INT197,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0102,INT088,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0103,INT076,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0104,INT041,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0105,INT001,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0106,INT225,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0107,INT068,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0108,INT196,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0109,INT130,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0110,INT028,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0111,INT161,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0112,INT216,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0113,INT130,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0114,INT051,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0115,INT096,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0116,INT042,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0117,INT245,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0118,INT237,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0119,INT236,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0120,INT154,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0121,INT126,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0122,INT029,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0123,INT093,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0124,INT213,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0125,INT079,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0126,INT015,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0127,INT225,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0128,INT243,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0129,INT022,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0130,INT125,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0131,INT018,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0132,INT137,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0133,INT033,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0134,INT169,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0135,INT243,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0136,INT043,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0137,INT136,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0138,INT156,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0139,INT247,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0140,INT238,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0141,INT194,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0142,INT177,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0143,INT183,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0144,INT103,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0145,INT167,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0146,INT113,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0147,INT133,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0148,INT031,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0149,INT058,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0150,INT087,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0151,INT151,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0152,INT059,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0153,INT057,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0154,INT019,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0155,INT162,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0156,INT059,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0157,INT232,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0158,INT221,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0159,INT019,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0160,INT061,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0161,INT172,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0162,INT055,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0163,INT034,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0164,INT240,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0165,INT147,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0166,INT122,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0167,INT201,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0168,INT207,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0169,INT049,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0170,INT025,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0171,INT111,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0172,INT109,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0173,INT120,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0174,INT187,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0175,INT173,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0176,INT166,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0177,INT016,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0178,INT187,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
